,index,Username,Title_Review,Rating_Review,Review,State,Type_traveler,Date_Travel,Attraction_id,validation_errors
255,255,Luiz A,ótima idéia para aproveitamento de um local,30,"A ideía de aproveitar um espaço a beira do rio e que estava em desuso foi excelente. Uma vista do rio excelente. O porém fica com os restaurantes que servem um bufê caro para o que oferecem. As comidas dispostas nas cubas são basicamente as mesmas e todas com os peixes das região. Arroz, Maniçoba, bobó de camarão ( não se anima pois não e o mesmo baiano), aipim, filés de peixe Filhote que é o mais oferecido e usual. Preços acima de R$150,00 sem bebida para um casal. O ponto alto fica para a Sorveteria Cairu que a exemplo de Fortaleza, vende sorvete Gourmet ao preço dos que são servidos nas Galerias da Avenida Paulista. Dos três Galpões, um é destinado a festas e Eventos, outro para Gastronomia e o terceiro seria para uma Feira de Artesanato que é pobre demais para ocupar esse espaço. O ponto melhor fica para um pequeno espaço com fotos que contam a história da evolução de Belém e do próprio Porto/ Docas. Esse espaço é muito interessante porque dá a verdadeira dimensão do espaço Docas e da evolução ou ''involução '  da Cidade.","Porto Alegre, RS",Families,,2,DATE_NULL;
256,256,Lucia B,Por do sol as margens do rio guama,40,"Lugar agradável para curtir uma brisa as margens do rio guama, um belo por do sol, um boa musica e muita comida regional. Pode ir sem pressa pela tarde ou a noite.","Belém, PA",Families,,2,DATE_NULL;
257,257,Helen Brite,Melhores restaurantes e passeio com mais segurança ,50,"Excelente cartão postal da cidade. Dispõe de vários restaurantes, teatro, cinema, atrações culturais e passeios que saem de barco pelos arredores da cidade. Excelente vista do por do sol e um ótimo lugar para as famílias passearem, ou com amigos, reunião de negócios, datas especiais, etc. Adoro ficar lá simplesmente pegando um vento ou tomar um sorvete da Cairu.","Rio de Janeiro, RJ",Families,,2,DATE_NULL;
261,261,Renata N,Ótima opção turistica,50,"O local é muito agradável, com várias opções gastronômicas, cervejaria artesanal (Amazon Beer), passeios turísticos. Vale a pena ir.","Palmas, TO",Families,,2,DATE_NULL;
277,277,Andrezza C,muito bonito,50,Melhor vista para a baía. Dá para ir antes no do ver-o-peso e depois se refrescar tomando um soverte na Cairu.,"Santos, SP",Families,,2,DATE_NULL;
375,375,Rafael,Lugar ótimo para happy hour e um bom visual do Rio,40,"Lugar organizado, com restaurantes, bares, sorveteria e algumas lojas. Muito limpo, com diferentes opções para almoço e janta. Lá localiza-se o brewpub da Amazon Beer, com excelente cardápio de petisco e cervejas artesanais.",Brasil,Families,,2,DATE_NULL;
451,451,Kassia M,Local de passeio e culinária paraense.,50,"Os restaurantes localizados na estação tem muitas opções de comidas regionais. A estação possui teatro, música ao vivo e as vezes tem algumas atrações do lado de fora. Vista para a baía do Guajará, vento bom e opção de passeio em barco em uma agência de turismo.","Castanhal, PA",Families,,2,DATE_NULL;
493,493,Bruno G,Ótimo lugar para passar o fim de tarde,40,"O local proporciona muitas opções de restaurantes e nos proporciona uma bela visão da Baía do Guajará, que fica ainda mais lindo ao final da tarde.","Fortaleza, CE",Families,,2,DATE_NULL;
500,500,Rita de Cássia ... M,Complexo Turístico e Cultural,40,Está localizado no antigo porto de Belém e tem várias atrações e serviços. Foram restaurados os armazéns do porto mas conservando as características da arquitetura dos seculos XVIII e XIX. A vários  restaurantes que ocupam a extensão dos armazéns e é uma das maiores atrações turísticas de Belém;,"Salto, SP",Families,,2,DATE_NULL;
503,503,Ágata Maia,Agradável em todos os momentos do dia,50,"Local agradável na beira do rio com lojas, bares e restaurantes que pode-se visitar em qualquer horário do dia. A noite costuma ter música ao vivo. Mas o ponto forte para mim é a sorveteria dentro do galpao, ela tem quiosques em outros lugares da cidade mas lá tem um gostinho especial; provar os diferentes sabores sentado assistindo a bela vista do rio e dos barcos passando.",,Families,,2,DATE_NULL;
520,520,Willian A,passeio,40,lugar ideal para passear em familia e amigos lugar de frente para o rio vc pode desfrutar da uma gastronomia muito boa com diversos tipos de cervejas e uma coisa que e muito importante ambiente com seguranca andando pelo local  o tempo todo.,"Belém, PA",Families,,2,DATE_NULL;
530,530,jean c,"Gastronomia, música boa e vista Maravilhosa.",50,"Lugar ótimo, quando sai de Belém as docas nem existiam quando eu voltei me deparei com  umas das vista mais exuberante que pude ter olhar o rio.","Fortaleza, CE",Families,,2,DATE_NULL;
