,index,Username,Title_Review,Rating_Review,Review,State,Type_traveler,Date_Travel,Attraction_id,validation_errors
1889,1889,ELIELSON L,Lugar Maravilhoso! ,50,"Local excelente para passar momentos agradáveis à dois, com a família, amigos etc...sem contar com uma vista maravilhosa da Baía do Guajará.","Campina Grande, PB",Couples,,2,DATE_NULL;
1893,1893,Simone maria m,Lindo,50,"A Estação das Docas é um lugar encantador, com sua visão para a Baía do Marajó e um por do sol de arrancar suspiros. Ou então com aquela chuva da tarde que já é marca registrada da nossa Belém.",Nova Lima,Couples,,2,DATE_NULL;
1894,1894,Tiago da Silva,Lugar lindo pra passear e comer,50,"O lugar é lindo, na beira do rio. Muito bem preservado, climatizado e seguro. É uma delícia caminhar por sua extensão e parar para comer alguma coisa, beber uma cerveja na Amazon Beer ou saborear um sorvete da Cairu. Parada obrigatória para os que passam por Belém.","Santo Ângelo, RS",Couples,,2,DATE_NULL;
1895,1895,LeopoldoNunes,Passe um final de tarde,50,"Transformaram essas docas em local de turismo com restaurante, barracas de venda de artesanato, local para lanchar, passear, ver o por do sol, fazer turismo, espaço de lazer. Muito bom!!! Local de passagem obrigatoria por Belém.","Fortaleza, CE",Couples,,2,DATE_NULL;
1896,1896,cdcarva,Revitalização faz a diferença,50,"O local é espetacular, limpo e ótimo. Uma linda vista para a Baía. Ficamos no Amazon Beer que vende cerveja artesanal imperdível e ótimos aperitivos.Serviço ótimo e com toda a cortesia do povo belemense.","Rio de Janeiro, Brasil",Couples,,2,DATE_NULL;
1898,1898,Jose P V,Dança Folclorica,40,"Toda sexta-feira tem show grátis as 18:00h. Dança Folclorica no por do sol. Depois pode dar um passeio na orla da Estação das Docas, com vista a baía. Tem bons restaurantes, bebidas, e sorvete tradicional Cairú com frutas tropicais da região e outras.","Sao Paulo, Brazil",Couples,,2,DATE_NULL;
1907,1907,Dr_Ricardo_Almeida,passagem obrigatória em Belém,40,"Um lugar para comer, beber e passar horas tranquilas. Indo a Bel~em do Pará a Estação das Docas penso ser uma passagem obrigatória.","Gurupi, TO",Couples,,2,DATE_NULL;
1949,1949,regisqueiroz,Turistico,40,"Interessante passeio, mais pela revitalização do antigo porto. Hoje se parece um pouco com um shopping center. Mesmo assim vale a visita. Pare no bar da Amazon Beer para provar uma cerva artesanal produzida na região. E aproveite para comer no Lá em Casa, restaurante pioneiro em Belém, hoje comandado pela filha do mítico e saudoso chef Paulo Martins.",São Paulo,Couples,,2,DATE_NULL;
1973,1973,PedroHNAlves,Muito Bom,50,Um lugar fantástico para conhecer na cidade de Belém. Ótimos restaurantes e vista fantástica. Sem falar na Chopperia existente lá.,"Belém, PA",Couples,,2,DATE_NULL;
1985,1985,Rafael H,Melhor opção em Belém,50,Local super aprazível com uma vista maravilhosa e várias opções para comer e beber. Quem dera o Ver-o-Peso tivesse a organização da Estação das Docas,"Brasília, Brazil",Couples,,2,DATE_NULL;
1990,1990,BetaPina,Diversidade,50,"Localizado às margens do rio, existem 2 ambientes, um ao ar livre e outro fechado com ar-condicionado. Várias opções de restaurantes, com variados preços, e uma cervejaria de primeira.","Belém, PA",Couples,,2,DATE_NULL;
2002,2002,vanessacguima,Must visit,50,"Local agradável à beira da Baía do Guajará. Boa acessibilidade, estacionamento, bons restaurantes, cervejaria, delicatessens, música ao vivo, lojas de souvenirs, trapiche com opções de passeios pela orla. Puerto Madero  by Pará.","Belém, PA",Couples,,2,DATE_NULL;
2008,2008,LeticiaPinheiro,Para todos os públicos,50,"Adoro os ambientes, as lojinhas, os restaurantes, as apresentações de dança e de música ao vivo, são sempre convidativas, assim como a programação do Cine Estação e do Teatro Maria Sylvia Nunes, mas a vista, a vista é o melhor deste lugar: ENCANTADORA.","Belém, PA",Couples,,2,DATE_NULL;
2016,2016,Medraurus,Excelente,40,"Conhecer a Estação das Docas em Belém foi muito agradável e interessante, o local possui restaurantes variados e de boa qualidade, teatro, sorveterias e lojas de artesanato. No mesmo local também é possível realizar passeios de barco pela orla de Belém.","Brasília, DF",Couples,,2,DATE_NULL;
2019,2019,DaniloDalj J,Lugar legal para se conhecer,50,"Estação das Docas é um lugar ótimo de se conhecer, restaurantes lindos, mais um pouco caros, mais tudo la é gostoso, como comida, bebida, cerveja artesanal e uma musica ambiente que fica nas alturas percorrendo todo o lugar.","Brasília, DF",Couples,,2,DATE_NULL;
2023,2023,MuriloDeolino,Puerto madero do Pará,50,"A estação das docas é um dos lugares mais agradáveis de Belém. Uma orla com restaurantes, lojas, bares e a imensidão do rio...ótimo para um fim de tarde. A estação das docas é o ponto de encontro de jovens, casais, famílias...","Salvador, BA",Couples,,2,DATE_NULL;
2024,2024,Luciana E,bonito e agradável,50,"Um belo espaço, onde vc pode apreciar o por do sol e a baia do guairas, onde saí passeios de barco da vale verde turismo.Também possui excelentes restaurantes.","Fortaleza, CE",Couples,,2,DATE_NULL;
2026,2026,Jocimar C,Ótima Idéia!,50,"Area revitalizada, com ótima localização e linda vista da Baía. Um bom lugar para se frequentar a noite, pois possui ótimos restaurantes. Vale a pena combinar com as outras atrações próximas e sempre fazer um bate-volta na Cairu. Abre a partir das 10h00.","Camaçari, BA",Couples,,2,DATE_NULL;
2027,2027,tania h,Revitalizada e chique!!!!!,40,"O passeio é lindo!!!Em frente à Baia,com segurança,música ao vivo,vários restaurantes,mas tudo muito caro!!!!","Belo Horizonte, MG",Couples,,2,DATE_NULL;
2030,2030,Moyses B,Lugar lindo,40,"De frente para o Rio , cheio de restaurantes em uns antigos galpões que eram do porto da cidade. Comida internacional e típica.","Belém, PA",Couples,,2,DATE_NULL;
2031,2031,Simone Magda C,Imperdível,50,A Estação das Docas é um centro gastronômico e lojas de artesanato. Possui vários restaurantes e música ao vivo. O pôr do sol é maravilhoso. Fica ao lado do Mercado Ver o Peso. Vale a pena conferir.,"Campinas, SP",Couples,,2,DATE_NULL;
2032,2032,Loresales,Um dos lugares mais bonitos de Belém,50,"A estação das docas é um lugar imperdível em Belém! Um lugar onde as pessoas vão namorar, passear com os filhos, jantar nos bons restaurantes das docas. Não é um ambiente barato, os preços dos pratos lá não são populares, mas também há sorveteria, cervejaria...A vista do rio também é muito bonita, o pôr-do-sol também é bem bonito. Fica bem pertinho do Ver-o-peso...","Salvador, BA",Couples,,2,DATE_NULL;
2033,2033,lucia-paulo,Muito bom,40,"Como o próprio nome diz, é um local que foi utilizado como docas do porto de Belém e hoje abriga restaurantes, lojas e outros espaços para recreação. Local muito bonito, limpo e preservado","São Paulo, SP",Couples,,2,DATE_NULL;
2034,2034,Davi F,Além do esperado,50,"Espaço organizado, limpo e com um pouco de tudo. Vale a pena conhecer, principalmente com os músicos e bandas que tocam acima das pessoas.","Santa Maria, RS",Couples,,2,DATE_NULL;
2049,2049,Patricidnp,Bom!,30,"O lugar tem alguns restaurantes e algumas poucas opções de lojas. Como fica na beira do rio, de lá saem passeios de barco interessantes. Não deixe de experimentar os sorvetes com sabores típicos da região na sorveteria cairu... Adorei o  carimbó que é sorvete de castanha com geléia de cupuaçu... huuummmm","São Paulo, SP",Couples,,2,DATE_NULL;
2051,2051,Luis S,Puerto Madero Paraense,50,"Parece Puerto Madero em Buenos aires, com uma diferença para melhor, praticamente não tem Argentinos... rsrsrs.O lugar é show e cheio de restaurantes e uma cervejaria local. A Amazom Beer - Prá quem curte shop artesanal, é imperdível.","Rio de Janeiro, RJ",Couples,,2,DATE_NULL;
2086,2086,leonemota,muito legal.. se esta em belem tem que ir.. nas docas,50,na estação das docas como é chamado la.. é um local perfeito pra namorar e ver o rio.. é muito bom de ficar atoa e para fim de tarde.. as coisas sao baratas e consegue-se comer bem...,"Uberlândia, MG",Couples,,2,DATE_NULL;
2106,2106,Nazaré V,"A Vista do porto é linda, o restaurante com palco móvel , ainda não tinha visto",40,"Não gostei da área ao lado do mercado Ver o pêso, me pareceu meio perigoso. O que eu gostei foi da hospitalidade dos paraenses. Informações muito condizentes, e um povo muito agradável.","Manaus, AM",Couples,,2,DATE_NULL;
2143,2143,Andre_Buttao,Vale a pena conferir.,50,"Excelentes restaurantes, lanchontes e sorveteria. Lojas de conveniencia, artesanato.Tudo em uma bela vista da Baía do Guajará.Vale a pena conferir.Atração imperdível em Belém!!!","Belém, PA",Couples,,2,DATE_NULL;
2147,2147,OZ_Mona,Vista confortáveis,40,"superestimado como uma atração - é um centro comercial moderno com excelentes veiws - os das docas estação fez uma parada bacana depois de passar tempo no "" Ver-Peso-o"" mercados. A conversão dos armazéns antigos em um moderno complexo foi feito muito bem.",Cairns,Couples,,2,DATE_NULL;
2163,2163,Rosinilma P,Passeio bom demais,40,"Quando vou ao centro sempre dou um passeio e vejo a Baia. Local seguro, tem estacionamento próprio pago, vale a pena.","Porto Alegre, RS",Alone,,2,DATE_NULL;
2166,2166,Forlan78,Excelente para todas as horas ,50,"Único lugar gastronômico da cidade. Tem música ao vivo. Chopp no happy por 3,99 e alguns restaurantes. Podia ter mais opções","Belém, PA",Alone,,2,DATE_NULL;
2172,2172,Nivea P,Fácil de chegar,50,"Muito fácil de chegar, com vários restaurantes, lojinhas de lembranças da cidade,música e um belo local para apreciar o rio e o vai e vem dos barcos.","Manaus, AM",Alone,,2,DATE_NULL;
2196,2196,Irineu C,Um point para happyhour,40,"Excelente local para curtir o fim de tarde com amigos, tomar um sorvete, um chope ou apreciar o por do sol à beira rio.","Manaus, AM",Alone,,2,DATE_NULL;
2198,2198,eloi r,Bom,50,"Há no local opções de refeições, cafés, bebidas. Fica proximo ao terminal hidroviario, do mercado ver o peso, do forte, da igreja, da cidade velha...","São Miguel do Oeste, SC",Alone,,2,DATE_NULL;
2199,2199,Tiago Cisalpino,Fantástico,50,"Ambiente totalmente restaurado, com boas opções de restaurantes e bares. Boa infra-estrutura turística e vista bacana da orla.","Belo Horizonte, MG",Alone,,2,DATE_NULL;
2201,2201,Luiz E Pacheco,Diversidade de opções de lazer,50,"Restaurantes, sorveteria Cairu, paisagem, lojinhas de souveniers, cervejaria. Essas sao as boas opções da Estação das Docas. Ao lado o Mercado do Ver o Peso. Ao chegar na Estação, ecite de descer ou estacionar o carro na rua. Região com muitos furtos.","São Paulo, SP",Alone,,2,DATE_NULL;
2202,2202,Pjrvale,Interessante,40,"Um lugar interessante, antigos armazéns do porto de Belém que foram recuperados e hoje abrigam bares, restaurantes, lojas de artesanato e sorveterias, muito movimentado.","Ponta Grossa, PR",Alone,,2,DATE_NULL;
2235,2235,Fabio Zenker,Bom passeio para fazer no final de tarde,50,Local muito bom para uma caminhada no fim de tarde! nas sextas feiras geralmente há apresentaçoes de danças tipicas,"Rio de Janeiro, RJ",Alone,,2,DATE_NULL;
2237,2237,Marisilveira,Excelente local para turistas,50,"Na minha opinião, o melhor lugar de Belém para turista curtir horas agradáveis. Ambiente limpo, com sensação de segurança, ótimos restaurantes, alguns com música ao vivo, super bom para ir ao final da tarde e noite. Os preços são caros, mas compensa.",,Alone,,2,DATE_NULL;
2239,2239,Nara N,Lugar lindo!,50,"Tem uma vista ótima! Lá você também pode provar os sorvetes da Cairu, feitos com as frutas da região, tomar um chop ou cerveja Amazon beer.","Rio de Janeiro, RJ",Alone,,2,DATE_NULL;
2240,2240,Mauricio J,Visita,50,Gastronomia é uma vista excelente dá área portuária de Belém muito bom para um passeio é um jantar excelente,,Alone,,2,DATE_NULL;
2241,2241,Fernando M,Muito bom,40,Muito bonito. Restaurante movimentado so os preços que não são bons.Vista para o Rio e bem cuidadosos com os turistas,,Alone,,2,DATE_NULL;
2243,2243,cianciulli74,É legal sim... ,30,Trata-se dum boulevard bem interessante à beira da baía do Guajará. Tem uns restaurantes com self service e a cervejaria Amazonbeer. Tem também várias lojas de souvenirs e ar-condicionado.,"Brasília, DF",Alone,,2,DATE_NULL;
2262,2262,Kim D,Vista linda,50,"Além da vista maravilhosa da Baia do Guajara, a estação das Docas oferece um complexo turístico completo, com restaurantes excelentes e lojas diversas. conta também com um passeio de barco muito animado embalado ao som de carimbó com saída da estação das Docas, localizada bem no centro de Belém, proximo ao histórico mercado do ver o peso.",,Alone,,2,DATE_NULL;
2263,2263,Bruno G,Otimo,50,"Excelente lugar para passear e curtir a brisa do rio e m boa segurança. Fica bem do lado do mercado mais famoso de Belem, cheia de bares e restaurantes. Ate de noite è bastante seguro e bem frequentado, muito tranquilo. Se quiser mais confusão em 5 minutos estarão no mercado ao lado! E' um dos lugares top de Belem acessível para todos os bolsos, nas precisa pagar c consumir nada para ficar passeando.","Vercelli, Itália",Alone,,2,DATE_NULL;
2267,2267,Sanfer74,Parada Obrigatória II,50,"Ao lado (uma espécie de continuação do Mercado ver o Peso), a Estação das Docas é um local que tem a organização e a higiene que o ""vizinho"" não tem. Bons restaurantes, boa vista, e claro, um quiosque da Sorveteria Cairu, sempre ela.","Rio de Janeiro, RJ",Alone,,2,DATE_NULL;
2283,2283,Diego B,"Passeio noturno, vista inclivel",50,"Lugar sem igual, a noite na estação das Docas e maravilhara, musica local super agradável, restaurantes muito recomendados, pratos ótimos, e sem falar que o lugar oferece uma vista incrível para registrar momentos","Macaé, RJ",Alone,,2,DATE_NULL;
2289,2289,Lucas Santos,Boa Atração,40,A Estação das Docas é quase como um shopping em Belém. Apresenta lojas e quiosques com várias comidas. Foi lá que eu comi o Tacacá delicioso!,"São Paulo, SP",Alone,,2,DATE_NULL;
2293,2293,KELLEN CRISTINA R,Bom ponto turístico,50,A estação das docas é um lugar bem agradável. A iluminação fica linda a noite. Tem um sorvete maravilhoso que tem vários sabores típicos. Os preços dos jantares são bem caros nos restaurantes!,"Belém, PA",Alone,,2,DATE_NULL;
2313,2313,Patrick V,Principal,30,"Um dos principais pontos turísticos de Belém, da uma vista ampla da Baía do Guajará com suas águas lamacentas. Os restaurantes costumam ter preços bem altos!","São Vicente, SP",Alone,,2,DATE_NULL;
2326,2326,FELIPE_A_B_FERREIRA,Estação das docas !,50,"Maravilhoso local para conhecer os traços típicos de Belém, o açaí original, as frutas e pratos típicos como Maniçoba e a folha do jambu.",,Alone,,2,DATE_NULL;
2328,2328,Salete94,Passeio imperdível,50,"O lugar modernamente revitalizado é um dos lugares mais charmosos de Belém, sua rica gastronomia dá um toque especial ao lugar. Não deixe de visitar.","Balneário Camboriú, SC",Alone,,2,DATE_NULL;
2343,2343,Lorrayni,Um local muito aconchegante e ao mesmo tempo diferente,40,"Fiquei encantada com as Docas, é algo diferente do que sou acostumada. Poder apreciar aquela aquela vista é lindo. Há bons restaurantes no local e muitos táxis.","Fortaleza, CE",Alone,,2,DATE_NULL;
2351,2351,maurobb2,Perfeito,50,"Melhor local em Belém, ótimo para um fim de tarde. Possui bastante opções de restaurantes, lanchonetes e bares. É possível realizar um passeio pela orla de Belém ou outras ilhas, a partir desta estação.",,Alone,,2,DATE_NULL;
2364,2364,Italo L,Lindo Local,50,"Várias opções de comida e de compra de peças nativas de roupas! bom para um passeio, tanto de dia como de noite","Fortaleza, CE",Alone,,2,DATE_NULL;
2366,2366,Samuel P,Passeio familiar ,50,"Eu adoro estação das dicas, um lugar maravilhoso com uma vista incrível. Os restaurantes deixam a desejar, mas a paisagem vale a pena o passeio.","Brasília, DF",Alone,,2,DATE_NULL;
2367,2367,Lorayne O,Um dos melhores locais de Belém,50,"Para quem gosta de apreciar uma boa gastronomia em um lugar bonito e agradável, não pode deixar de visitar a estação das docas. O local é cheio de excelentes restaurantes e bares com variedades infinitas. Fazer uma caminhada pelo local contemplando o rio também é incrível. Na hora da chuva também é um ótimo lugar para se abrigar. Recomendo.",,Alone,,2,DATE_NULL;
2369,2369,Geovanna S,Estação das Docas,40,"Certamente um lugar na lista enorme de atrações de Belém. Rica em cultura, beleza e culinária, a Estação das Dicas é uma ótima pedida, seja acompanhado de familiares e amigos, sozinho para aquele café, ou para aproveitar o pôr do sol, um dos mais belos.","Belém, PA",Alone,,2,DATE_NULL;
2371,2371,Diego S,Passeio pra fazer umas fotos ,50,Um otimo lugar pra apreciar a tarde de belém do pará bater umas fotos tomar um chopp e curtir oFim de semana com os amigos nao tem lugar melhor,,Alone,,2,DATE_NULL;
2373,2373,MariMMQ,Para o final de tarde,50,"Lugar mais do que agradável para aquele chopp do final de tarde, curtindo o por de sol e uma boa musiquinha ao vivo. Varias opções de pratos e petiscos.","Santarém, PA",Alone,,2,DATE_NULL;
2374,2374,Ivan A,Diversão,50,"Ótimo local para passear, jantar ou simplesmente tomar um sorvete. Não deixe de ir ao Amazon Beer, seja para apreciar as cervejas, seja para degustar os pratos típicos.",São Paulo,Alone,,2,DATE_NULL;
2379,2379,MatheusMAO,Lugar tranquilo,50,"O lugar mais agradável de Belém e, sem dúvidas, perfeito para um happy hour. A disponibilidade de dois ambientes também ajuda bastante nos dias mais quentes, recomendo!","Vitória, ES",Alone,,2,DATE_NULL;
2380,2380,canellas,Local muito agradável ,40,"Um local realmente agradável e pronto para receber visitantes em geral, com espaço amplo com exposição, mini museu restaurantes, com apresentação no palco móvel e bares..","Curitiba, PR",Alone,,2,DATE_NULL;
2381,2381,HugoCWB,Boa estrutura para turismo!!!,50,Lugar bom e bonito! Com boa estrutura para turismo!! Gostei e achei limpo e bem cuidado!! Bares bons!!,"Belém, PA",Alone,,2,DATE_NULL;
2382,2382,855fabiano855,"BOM PARA COMER, PASSEAR E... BEBER!!",50,"Bons restaurantes (Lá em Casa), lanchonetes, sorveteria (Cairu) e, sobretudo, a melhor cerveja da cidade, Amazon Beer!!",,Alone,,2,DATE_NULL;
2384,2384,gis0uza,melhor lugar,50,"Ambiente muito agradável para um passeio. Nele há lojas, restaurantes, sorveteria e um espaço de exposição e uma internet pública de alta velocidade. Não se pode ir a Belém e não visitar.","Recife, PE",Alone,,2,DATE_NULL;
2385,2385,Victor A,Esperava mais.,30,"Após ouvis muito sobre a estação, esperava algo bem mais organizado, limpo e estruturado. O local é composto pelas velhas docas, sem estrutura renovada. Um mercado velho. Vale a pena uma visita rápida.","Teresina, PI",Alone,,2,DATE_NULL;
2387,2387,mauricio252525,Porta da amazônia,50,"Espaço que era porto hoje abriga um complexos de restaurantes, lojas , artesanato etc, passeio bom pra todos os tipos ...","Santarém, PA",Alone,,2,DATE_NULL;
2390,2390,Diego V,Bela Vista ,40,"Local com uma vista muito bacana do Rio e vários itens que contam a história do local e da cidade de Belém, vários restaurantes e locais de compra.","Santos, SP",Alone,,2,DATE_NULL;
2467,2467,matheus feitoza,Amei o local !,50,"Adorei o local e a vista é linda.gostei muito de uma cervejaria que fica no local,o chopp é maravilhoso e o ambiente muito agradável.","São Luís, MA",Alone,,2,DATE_NULL;
2468,2468,Ed.Amorim,Tão charmosa quanto Puerto Madero!,50,"A Estação das Docas lembra a charmosa Puerto Madero em Buenos Aires mas tem seu brilho e encanto próprios. São vários restaurantes, sorveteria, e lojas no mesmo complexo. Dica: Caminhe por toda sua extensão e depois procure sentar-se nas externas com a bela vista da Baía de Guajará. Há música ao vivo numa estruturante suspensa e móvel muito bacana onde os músicos ""flutuam"" por toda extensão do complexo. O local lota aos finais de semana e estacionar pode levar muito tempo. Dica 2:  Vá de Táxi pois eles te deixam lá dentro e não precisa ficar preso numa fila de carros aguardando vagas no estacionamento.","Belo Horizonte, MG",Alone,,2,DATE_NULL;
2469,2469,Marcello,Muito bom!,50,"Local bacana, estilo Puerto Madero, com várias opções de bons restaurantes. Destaque para a ponte rolante onde foi instalado palco para banda que fica se deslocando acima das mesas.","Niterói, RJ",Alone,,2,DATE_NULL;
2472,2472,Áurea Carolina C,Passeio necessário,50,O espaço muito bem adaptado para restaurantes e espaços de arte proporciona uma bela da orla de Belém e de variadas embarcações. Permite ainda uma visão do passado da capital paraense.,,Alone,,2,DATE_NULL;
2473,2473,jullya21,Encontros perfeitos,30,"Se esta procurando relaxar, meditar, marcar encontros e mais este é o lugar perfeito, e además dela ser pública desde sua crianção se mantem bem conservada como patrimonio histórico e cultural, valorizando dessa forma a vida Brasileira, tem bar ao ar livre e pra quem gista de aventura passeios de barco é o melhor ou um simples jantar comfortável.","Belém, PA",Alone,,2,DATE_NULL;
2476,2476,Felipe F,Diferente e encantador,50,"A Estação das Docas é muito bonita e ótima para apreciação gastronômica, eventos artísticos ou um simples passeio, possui algumas lojas e o cenário todo é um museu a céu aberto com guindastes e maquinário secular utilizados no antigo porto. Antigos armazéns e um terminal de passageiros foram restaurados para dar lugar a restaurantes, áreas de lazer e eventos. Os ambientes internos são amplos e climatizados e na parte externa tem um calçadão beirando a Baia de Guajará. O local é bem vigiado e muito seguro.","Brasília, DF",Alone,,2,DATE_NULL;
2502,2502,Michelle T,Interessante,40,"Tem algumas lojinhas legais de se ver, mas nada de estupendo.Tem uma loja com sorvete das furtas tipicas e de bombons, que foram o que de fato valeu a pena.",,Alone,,2,DATE_NULL;
2518,2518,Raimundo F,Excelente,50,Espaço belíssimo com ótimos restaurantes onde pode-se saborear a culinária paraense com destaque para o Pato no tucupi e o açaí com pirarucu frito. existem várias atrações artística com shows musicais e teatrais além da bela orla da Baía do Guajará.,"Brasília, DF",Alone,,2,DATE_NULL;
2543,2543,Nelson M,Puerto Madero brasileiro,50,"Incrivel a limpeza, organização, atendimento e prestatividade do pessoal.... Não a toa, a melhor cerveja artesanal do Brasil (Amazon Beer) e´ produzida la´, quem aprecia como sugestão fica a de Acai (stout, encorpada), sem contar a infinidade de restaurantes para um almoço agradável, impossível não encontrar algo que agrade ao paladar...","São Paulo, SP",Alone,,2,DATE_NULL;
2545,2545,poetaaugusto,muito bom,40,"Um lugar para ser visitado, com certeza e sem pressa. Restaurantes, artesanato, sorveteria e uma vista linda.","Florianópolis, SC",Alone,,2,DATE_NULL;
2549,2549,Rhb2014,Insegurança em todo o país!,50,"A Polícia Turística garante a segurança dos turistas. Ótimo e necessário! Infelizmente vivemos tempos de trevas, violência e assaltos em toda parte. É o cúmulo ter que disponibilizar este aparato policial, mas é o único jeito de passear e conhecer o local!","Porto Alegre, RS",Alone,,2,DATE_NULL;
2552,2552,Drausiof,Excelente pedida!,50,"A Estação das Docas é muito interessante para vários propósitos. Lá você pode aproveitar restaurantes, bares, exposições, tudo com qualidade, climatizado (fator importantíssimo na cidade) e de bom gosto. É válida a visita ao final da tarde, quando se pode ver uma bela vista, ou mesmo a noite, para jantar ou beber uma cervejinha. Recomendo","Ribeirão Preto, SP",Alone,,2,DATE_NULL;
2554,2554,Paulo I,Estação das Docas: Shopping diferente,40,"Trata-se de um lugar deferenciado, em que se paga pelo conforto e aconchego; bom para refeições em ocasiões diferenciadas, aquelas que não exigem pressa. Mas o melhor é o passeio, ao fim da tarde, ao longo da estação, do lado de fora, com a vista para a Baía do Guajará.","Núcleo Bandeirante, DF",Alone,,2,DATE_NULL;
2572,2572,Joselia R,Ótimo passeio,40,"Lugar muito agradável para terminar o dia com os amigos. Comidinhas gostosas, chopp e música fazem uma combinação perfeita. Recomendo e volto sempre que possível!!",Joaçaba,Alone,,2,DATE_NULL;
2613,2613,John N,Único,50,"Os Outros Estados no Brasil Norte e Nordeste falta este tipo de atração, embora as ofertas de restaurante são bastante caros, assim como o resto de Belém.","Recife, PE",Alone,,2,DATE_NULL;
2635,2635,maina_silva,Ambiente agradável,40,"Ambiente agradável com várias opções de restaurantes e outras lojas de alimentação, bom para passeios em família.","Florianópolis, SC",Business,,2,DATE_NULL;
2637,2637,Filipe N,Viagem a negócios com momento relax ,50,"Local mais que indicadoChopp Brahma a 3,99Peixe fresquinho Pessoas tranquilasMais familiaEscolha o lado dos restaurantes e não dos barzinhos que será mais feliz",,Business,,2,DATE_NULL;
2639,2639,hazenclever,Excelente opção,50,"Mesmo para os que estão com um rápido intervalo de almoço em viagem a negócios devem conhecer a arquitetura, história e excelente gastronomia da Docas. E ainda ganha uma linda vista da Baía de sobremesa.","Brasília, DF",Business,,2,DATE_NULL;
2682,2682,Daniel Brito,Interesante ,40,"Achei legal, tem um chope local, uma plataforma voadora em que os músicos tocam sons de barzinhos de pequenas grandes capitais, tipo Jorge versilo,  djavan,  essas coisas.  Melhor pra ir no final do dia",,Business,,2,DATE_NULL;
2685,2685,Sylvia,lindo,50,"lugar tranquilo, restaurantes maravilhosos, vista linda, do lado da feira ver-o-peso,. vale a pena conhecer",Espírito Santo,Business,,2,DATE_NULL;
2687,2687,Renan Setta,Muito Agradavel,40,"Ir no fim da tarde, tomar um chopp da Amazon Beer observando a paisagem...grata surpresa! Ha varias opções de restaurantes, isso agradou bastante tb.",,Business,,2,DATE_NULL;
2688,2688,Paulo Sousa,Bom local para reunir com os amigos!!,50,"A Estação das Docas é um local excelente para encontrar amigos e fazer um lanche ou uma refeição. Dentro da Estação é tudo muito organizado, limpo e seguro. Mas a segurança nos arredores é preocupante. Quando por pedir um taxi ou Uber fique do lado dentro (a Estação é toda cercada) porque fora é perigoso.",Brasília,Business,,2,DATE_NULL;
2692,2692,Flávio J,Lugar Fantástico,50,"As Docas são um lugar fantástico e imperdível em Belém. Construído no local que já foi o Porto da cidade, mantém preservada a área que outrora era palco de intensa movimentação de cargas. Hoje bares e restaurantes dominão  o lugar que é pitoresco e muito adequado para o turismo. Possuindo inclusive uma cervejaria exclusiva, que produz lá mesmo seu próprio chopp. Delícia! e uma sorveteria de sabores regionais e maravilhosos. Possui um posto de táxi bem na frente do lugar.","São Luís, MA",Business,,2,DATE_NULL;
2760,2760,araripe2015,Excelente passeio!,50,"É um dos cartões postais de Belém e um local imperdível para qualquer turista! O espaço é resultado da revitalização das docas de Belém, tornando-se meio de disseminação da cultura local por meio da gastronomia, artesanato e bares, entre os quais se destacam o da Amazon Beer, uma micro cervejaria que funciona no local. Encontra-se a apenas alguns metros do Ver o Peso, outra atração impagável de Belém.","Sorocaba, SP",Business,,2,DATE_NULL;
2764,2764,noodlebs,Bela vista e excelente comida!,50,"Um excelente passeio para fazer em família! Comida típica, uma vista excelente do Rio, sorvete Cairu e artesanatos. Muito legal mesmo!","Rio de Janeiro, RJ",Business,,2,DATE_NULL;
2765,2765,Dguazzelli,Instalação impressionante,50,"Eu que sou de São Paulo, não imaginava ver um local com uma atmosfera tão bacana em Belém.Experimente as cervejas artesanais da Amazon Beer e prove os sabores diferentes de sorvetes das frutas típicas da região.","Sumaré, SP",Business,,2,DATE_NULL;
2766,2766,Luis S,Passeio,40,"Vale ser visitado pela diversidade da culinária, pela beleza do local e da natureza do entorno. Preços um tanto caros, porém, nada diferente das grandes capitais brasileiras.","Rio de Janeiro, RJ",Business,,2,DATE_NULL;
2767,2767,EmidioCunha,Estação das docas - Belém - PA,50,Excelente lugar para um happy our ou mesmo para o horário de refeições. Vista muito bonita da Baia de Guajará. Lindo por do Sol.,"João Pessoa, PB",Business,,2,DATE_NULL;
2769,2769,Alexandre_Zanini,Muito interessante e muita criatividade..,50,"A estação das docas, na minha opinião é um exemplo de que podemos mudar qualquer coisa, qualquer ambiente e qualquer lugar.... Basta ter ideia, imaginação e força de vontade de todos..","São Paulo, SP",Business,,2,DATE_NULL;
2770,2770,Jucineide L,Lugar maravilhoso,50,"Recomendo, lugar lindo com excelente culinária. Também tem artesanato e cervejaria, além da sorveteria Cairu, com sorvetes espetaculares.","Campinas, SP",Business,,2,DATE_NULL;
2771,2771,Luiz C,Excelente lugar para comer e beber,40,"Local amplo em frente ao rio. Possui um pequena mostra de peças antigas das docas e históricas também.Cervejaria amazon beer, sorveteria cairu e restaurante Lá em Casa são algumas das muitas opções.Música ao vivo no ambiente.Excelente para almoço e jantar com a família. Também é bom para casais.Recomendo!",,Business,,2,DATE_NULL;
2773,2773,lucia3007,Abandonada,30,Me surpreendi. Achei o local sujo e mal cuidado. nao tenho intenção de visitar novamente. Merece cuidado por parte das autoridades.,"Belo Horizonte, MG",Business,,2,DATE_NULL;
