index,Username,Title_Review,Rating_Review,Review,State,Type_traveler,Date_Travel,Attraction_id
24,Anna Rachel Pessanha,Excelente para o fim de tarde!,50,"Um lugar super cool e moderno, com restaurantes, cafés e sorveterias com sabores tipicamente para esse é atendimento nota 10. O lugar perfeito para terminar um dia de passeio e andanças pela cidade saboreando delícias e contemplando o maravilhoso pôr do Sol que a cidade oferece.",,Families,2019-06-01,2
25,Mário Jorge,EXCELENTE,50,"Ótimo ambiente, familiar, atraente e com diversas opções gastronomicas com excelente qualidade da culinária paraense.","Manaus, AM",Families,2019-06-01,2
26,RicardoNeno,Merece ser visitado,50,"A estação das docas são galpões revitalizados do antigo Porto de Belém, oferece uma vista magnífica da baía do Guajará, vários restaurantes, cervejaria artesanal, lojas, cinema e área de exposições","Belém, PA",Families,2019-06-01,2
27,Jose Lucas Neto,Um lugar lindo e confortável,50,"realmente é um ligar que não deixa a desejar à lugar nenhum do mundo, adoro esse lugar, algumas vezes o atendimento não é tão bom, mas não é também ruim. Recomendo provar a cerveja, o sorvete da cairú, passear no barco da Vale Verde e pegar uma brisa no final da tarde.","Belém, PA",Families,2019-04-01,2
28,Lorena K,Tem que ir,50,"Um lugar indispensável de conhecer em Belém. Na beira do rio, tem um passeio de barco no final da tarde maravilhoso. Tem vários restaurantes, sorveteria com sabores de frutas regionais. Imperdível.",,Families,2019-06-01,2
29,Doo,Tem potencial,30,"Lugar amplo, interessante, com um espaço privilegiado, porém, muito mal aproveitado.Poucas opções de restaurantes, comércio e entretenimento. Talvez na alta temporada haja mais o que fazer, mas não achei nada de mais...Só a facilidade de caminhar por um espaço climatizado já é uma vantagem em dias muito quentes ou durante a chuva.",,Families,2019-05-01,2
30,Bruna Neves - Guria de Mala e Cuia,Fim de tarde,50,"Lugar incrível para assistir o pôr do sol enquanto se toma uma cerveja da Amazon Beer ou come um sorvetinho da Cairu. De lá, sai o passeio de barco com apresentações de Carimbó. Passeio delicioso!","Gravataí, RS",Families,2018-09-01,2
31,tabata l,Passeio fim de tarde,50,Melhor lugar p passear no fim da tarde. Bom o levar as crianças. Tem restaurante p todos os gostos e bolso.,"Jacutinga, MG",Families,2019-04-01,2
32,RodrigoABC,Surpreendente,50,"Poucos brasileiros sabem que no norte do país temos a versão tupiniquim do famoso porto madero argentino. E funciona bem! É um local limpo, bonito e seguro, perfeito para um sorvete ao final da tarde. Está localizado ao lado do Ver o Peso. É ponto de saída de passeios turísticos.","Uberlândia, MG",Families,2019-04-01,2
33,toninho1942,O point da cidade,50,"É o melhor local de Belém para passear seja durante o dia ou  a noite. è um local bonito, bem cuidado, possuindo vários e bons restaurantes.","Rio de Janeiro, RJ",Families,2019-04-01,2
34,Ester Vianna,Parada obrigatória,50,"Delícia de lugar com muitas opções de restaurantes, lojas com produtos locais e de onde sai um passeio de barco muito interessante.Serve em qualquer horário: tarde ou noite. Para um petisco com chopp ou uma refeição muito bem servida.",,Families,2019-04-01,2
35,Fabio Pantoja G,Estação das Docas em Belém,40,"Umnligar que ainda tem seus encantos mais deixa muito a desejar em se falando de opções para gastronomia paraense , o lugar também precisa de algumas reformas, banheiros, e quiosques, possui uma linda paisagem é um por do sol fantástico, acredito que o poder público não tem condições de investir mais se fosse privatizado o lugar se tornaria o melhor Pointer, para os turistas e para os próprios paraenses, existe muito espaço apodrecendo na estação das docas podendo ser utilizado em um lindo museus, mais vale sim sua visita com família, amigos.","Macapá, AP",Families,2019-04-01,2
37,Manoela A,Por do sol incrivel,50,"Belem tem lugares maravilhosos por todos os lados, mas a estação das docas reúne conforto, história e gastronomia! Que lugar incrível! O fim de tarde foi maravilhoso e o jantar também!","Armação dos Búzios, RJ",Families,2019-04-01,2
44,Flávia S,Local interessante para se visitar e passear,30,Local com o rio e diversas opções para comer. Fica ao lado da famosa feira ver-o-peso. É climatizado.,,Families,2018-12-01,2
45,Erick Martins,"Em uma semana, fui várias vezes!",50,"Em geral a estação das docas possui muitos restaurantes de diversos tipos e até uma micro cervejaria. Isso fez com que eu fosse várias vezes visitar para almoçar, jantar e apreciar a vista. Muito fácil de estacionar para visitar o próprio lugar e também para visitar o Mercado Ver-o-Peso, que fica ao lado. Ir a Belém e não passar na Estação das Docas é como não ter ido a Belém","São José dos Campos, SP",Families,2019-02-01,2
46,Caiate,Sacada de mestre,50,"Este lugar é incrível. Bonito, bem planejado e muito agradável. Esta carecendo de manutenção. Há anos não uso o banheiro, mas parece que estão detonados.",Belém,Families,2018-07-01,2
47,Ana,Vale a pena conhecer..,40,"Passei por Belém bem rápido e claro que fui na famosa Estação das Docas, recomendo este lugar, pq vale a pena conhecer a cultura de Belém, que por sinal são muitas.. Tem vários restaurantes agradáveis.","Goiânia, GO",Families,2018-12-01,2
48,JulioPalhano,Sensação única ,50,"O local é muito bom para passear e jantar, ou ainda ir para apenas um happy hour.  É um complexo turístico Cultural e gastronômico com uma vista linda para a orla fluvial do antigo porto de Belém.","Ponta Grossa, PR",Families,2019-02-01,2
49,Natália,Lindo,50,"Um dos lugares mais lindos de Belém, a vista para o rio é incrível, rende fotos lindas, tem lojas com souvenir é bom pesquisar porque tem umas mais caras do que as outras","Teresina, PI",Families,2019-02-01,2
50,Maria Eduarda,Um dos Pontos Turísticos de Belém,50,"Um dos pontos turisticos mais visitados de Belém do Pará, um ótimo lugar, com bastante vento e opções de lembranças e histórias.","Belém, PA",Families,2018-11-01,2
51,Nely C,Local legal para visitas em Belém,40,"Estivemos na Estação das Docas numa segunda feira e  o local estava muito tranquilo para caminhar e conhecer. Encontramos estacionamento fácil perto do local. Pelo visto nos finais de semana o local fica muito cheio, mas vale a pena visitar.","Ipatinga, MG",Families,2018-11-01,2
52,Henrique L,Bom programa para o Jantar,50,E uma das principais atrações de Belém . Boas opções de alimentação. Fomos no Tio Armênio e adoramos . Também imperdível e tomar um sorvete na Cairu .,"São Paulo, SP",Families,2019-02-01,2
53,Jozierika,Maravinhoso,50,"Ponto turístico excelente para conhecer. Com ótimas opções de restaurantes. Lugar aconchegante, agradável e organizado. Entrada liberada.","São Luís, MA",Families,2018-07-01,2
54,Marcia T,Obrigatório conhecer.,50,"Ficamos 5 dias em Belém durante o mês de janeiro e por 3 noites fomos a Estação das Docas. É muito seguro, tem opções variadas de restaurantes, um ambiente limpo e extremamente agradável. Vale a pena!",,Families,2019-01-01,2
55,bEtAuM1303,Mais um dos roteiros imperdíveis de Belém. Não deixem de ir.,40,"Tirando o mercado ver-o-peso e a basílica de Nsa. Sra. de Nazaré, creio que este é o terceiro melhor postal da cidade.O complexo é muto bem estruturado e muito bem cuidado. Não é grande, dá pra voce caminhar de ponta a ponta e curtir o visual bem tranquilo.Há bastante segurança no local e um estacionamento privado, logo, vá a vontade.Além da parte externa, muito bonita de dia e de noite, há vários restaurantes na parte interna, que valem a pena a visita.Há uma cervejaria que funciona a partir das 17, sorveteria típica (boa, mas nada barata), algumas banquinhas de souvenirs e etc. Tudo muito bem organizado.Também há um museu mas é muito pequeno. Coisa de uns minutinhos e voce já viu tudo.O destaque fica pros restaurantes e pra vista mesmo.Fui lá de dia e voltei a noite.Recomendadíssimo.Obs.: Não sei se é da época, mas metade dos mosquitos de belém foram visitar a estação nesse dia, logo, voltei mais leve e com uns litros de sangue a menos. levem repelente. :)","Manaus, AM",Families,2019-01-01,2
56,Socorro Ramos144,Gastronomia,50,Lugar excelente apara passear e principalmente para degustar a culinária local com várias opções de restaurantes e lazer. E principalmente degustar o melhor sorvete da Cairu.,"Olinda, PE",Families,2018-12-01,2
57,florajvb,Turismo em Belém,50,"Lugar excelente para qualquer hora do dia, com bons restaurantes, cevejaria e a melhor soverteria de Belém!","Belém, PA",Families,2019-01-01,2
58,Mauro K,Opção boa para uma happy hour,40,Boas opções de bares e restaurantes em um local com alta frequência de turistas e moradores.  Boa música. Várias lojinhas para compra de presentinhos do Pará.,"Salvador, BA",Families,2018-12-01,2
