,Name,Rating_attaction,Username,Title_Review,Rating_Review,Review,Date,State,Type_traveler
12010,Praça da República,40,419ana,Praça do Povo,50,"Esta praça é belíssima, toda arborizada, localizada no centro de Belém. Então, durante o dia, é um vai e vem de pessoas transitando pela praça. E aos finais de semana a praça vira uma verdadeira alegria, pois, vira festa. Com apresentação de bandas, palhaços, vendas de comidas típicas, vendas de artesanatos, doação de animais , etc, e o principal gente, muita gente.", julho de 2015,"Belém, PA",Families
12011,Praça da República,40,SorayaGars,Feira de artesanato e comidas tipicas,40,"Uma feira grande, com muita variedade de itens, desde artesanato e comidas locais até badulaques tipo 25 de Março (em São Paulo). Aos domingos.", agosto de 2015,"São Paulo, SP",Families
12012,Praça da República,40,FgaBRUNA,Feirinha é a melhor parte!,40,"Eu goste de praças..mais não é meu ponto de ir todos os dias.Mais indico esta praça aos domingos pois tem uma feirinha adorável com produtos artesanais com preços bons,muitas atrações,bom para ir em família e levar as crianças para se divertir.Um lugar ótimo para passear,caminhar...", maio de 2015,"Natal, RN",Families
12013,Praça da República,40,Agnes A,A feirinha é imperdível,40,"Ficamos hospedados bem próximos à praça, então tivemos uma boa visão sobre ela em vários momentos. Durante o dia é tranquilo passear, e a feirinha de domingo de manhã é imperdível pra comprar artesanato a preços baixos e pra comer. À noite a coisa fica meio tensa. Uma pena é a sujeira - aliás, onipresente em Belém, o que também é uma pena, já que é uma bela cidade!", julho de 2015,"Belém, PA",Families
12014,Praça da República,40,Antonio Lobo,Domingos na República,50,"Praça muito bonita, com dois teatros no meio, sendo um bem famoso, o Teatro da Paz. Os melhores passeios são aos domingos, durante o dia, que é quando ocorre uma feira ao ar livre, assim como shows e outros entretenimentos. Muito indicado para um passeio sozinho, com amigos ou em família.", julho de 2015,"Goiânia, GO",Families
12015,Praça da República,40,Frederico S,Bonita,40,"Achei bonita a praça, grande e bem tratada. Belém tem muita parte que está largada, mas a praça tem sua beleza!", julho de 2015,"São Lourenço, MG",Families
12016,Praça da República,40,AlineD774,Nota 10 para a beleza que ali existiu e Nota Zero para o vandalismo e péssima conservação,20,"Uma das praças brasileiras mais bem planejadas que já vi mas, infelizmente transformou-se em palco para o vandalismo e abandono. Fica de frente ao antigo Theatro da Paz. O complexo arquitetônico deve ter encantado a todos na época de sua inauguração. Agora, espalha o horror e espanto de quem passa por ali. Como pode existir algo tão lindo e tão depredado? Cuidado com alguns desocupados que frequentam muitas das praças em Belem! Leve o mínimo necessário! Nao deixe de realizar a visita guiada pelo teatro.", julho de 2015,"Belo Horizonte, MG",Families
12017,Praça da República,40,Karina Motta,Palmeiras e teatro,50,"Em Belém, a praça da República com suas palmeiras imperiais guarda mais um dos tesouros paraenses: o teatro da Paz.", agosto de 2014,,Families
12018,Praça da República,40,Alvaro Aires,"Local mau conservado, cheio de sujeira.",10,"Fui visitar a feira de artesanato que ocorre aos domingos e encontrei muita sujeira inclusive fezes humanas, calçada toda quebrada, monumentos depredados, mato alto. Não há menor manutenção.Ao estacionar o carro, coloquei próximo a guarita dos Correios onde havia seguranças. Mesmo assim, ao voltar, encontrei o vidro apedrejado. O roubo só não foi consumando devido a intervenção dos seguranças.", julho de 2015,"Brasília, DF",Families
12019,Praça da República,40,Caiquesmg,Excelente passeio de domingo,50,"É uma ótima opção de lazer, principalmente no domingo pela manhã, onde acontece um feira de artesanato com comidas tipicas, musica regional e muita gente animada!", julho de 2015,"Curitiba, PR",Families
